Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
166,40,Good stepping stone,Good place to learn and pick up idea of systems,Staffs lack knowledge with insufficient training,Systems Engineer,Current Employee,nan,Oct 4 2022
167,40,Decent workplace with minor benefits,Part of RD team lots of exposure to new and emerging tech stacks Snacks clean workspace chill team,Lack of food choices Far from my home Dull working atmosphere,Software Engineer,Current Employee,Ang Mo Kio New Town,Sep 21 2022
168,50,Nice Start,nice people and patient people to work with,slow progression for current employees cos too many people in company,Software Engineer,Current Employee,Ang Mo Kio New Town,Oct 8 2022
169,40,Great people low salary,The people here are great colleagues No toxic people here,Low salary pay for a big company,Senior Engineer,Current Employee,Ang Mo Kio New Town,Oct 9 2022
170,50,Know more,Nice challenging environment and if lucky great boss,Government projects can be very taxing,Manager,Current Employee,Jurong East New Town,Oct 13 2022
171,30,Review for ST,Flexible working arrangements Operates like a SME,Draw lines very clearly Pretty much on your own for some divisions,Anonymous Employee,Current Employee,nan,Oct 6 2022
172,30,Good people Interesting job,Good management culture People are nice,Salary is way too low compared to other organisations,Engineer,Current Employee,Singapore,Oct 8 2022
173,40,Overtime even if you decline,OT is always available if you are willing,OT till you dont wantSeems if you dont OTyou are not supporting Customer demanding,Engineer,Current Employee,nan,Sep 26 2022
174,40,Engineer,Colleagues are helpful and support when require Flexible and depending the managers you are under with can be understanding on technical issues Work life balance is good,increment is low since based on average market rate Improvement takes time and depending if the management willing to take risk in changes,Engineer,Current Employee,Singapore,Jul 17 2022
175,40,Place to start your career,Great place to learn and explore your interest As long as youre willing to learn you will be assigned and rotated to different roles,Capable people get too much workload and burnout occur frequently,Deputy District Manager,Current Employee,Singapore,Sep 13 2022
176,50,Good work life balance,Good work life balance and fun,Slow increment and slow promotion,Engineering,Former Employee,nan,Oct 7 2022
177,30,nan,High starting basic salary at ST,Slow progression unless you are a scholar,Anonymous Employee,Current Employee,Singapore,Oct 10 2022
178,40,Job stability,If looking for job stability and good life balance,Progression may depends on the department you are at although there csn be opportunity to transfer,Anonymous Employee,Current Employee,nan,Sep 25 2022
179,30,Review,Steady Job with almost no retrenchment,Too many retired SAF staff which does not know how to run the company Bad salary package,Engineer,Current Employee,nan,Sep 27 2022
180,30,ST should hire more minorities and scale up the pay,Some managers tends to support the engineers,Managers will always lowball when it comes to pay Low pay in IT industry,nan,Former Employee,Ang Mo Kio New Town,Sep 17 2022
181,50,Still unable to create a comprehensive review less than 1 year of working,It appears that the company have good worklife balance for now,1 Working in red zone does not allow me to have my own computer that can access the internet beside me it is troublesome that I have to go to the computer terminal in order to do research 2 Many important website in order to do our job are blocked like Youtube Udemy some URL are blocked Facebook Some of us use our Facebook account to register our Udemy account Google drive Dropbox,Software Engineer,Current Employee,Ang Mo Kio New Town,Apr 22 2022
182,20,Engineers are not driven,work life balance Work can be completed relative easy,Nothing much to learn No innovation,Senior Software Engineer,Current Employee,Singapore,Oct 26 2022
183,50,Review of work,Good colleagues who are helpful Teamwork,Long working hours Messy HR policies,Human Resources Generalist,Former Employee,nan,Aug 25 2022
184,30,Improving,The management is improving Now put the correct person as the manager,Too much workload Tends to overloaded at times,Engineer,Current Employee,nan,Oct 22 2022
185,30,Claim Associate,There is a Good teamwork colleague,There is Alot of OT,Claim Associate,Former Employee,nan,Oct 26 2022
186,30,Great Colleagues but some bosses are just bosses,Great Colleagues and strong camaraderie And people are willing to help each other when things are tough,but some of the senior management are only bosses and not leaders,Assistant Principal Engineer,Current Employee,nan,Sep 18 2022
187,30,Organization,Senior management are supportive and willing to hear from ground,Minority from peers and team playing politics while management do not see and rectify it,Principal Engineer,Former Employee,Ang Mo Kio New Town,Oct 7 2022
188,50,,Good job security with stable environment,Career progression slow and its who you know,Manager,Former Employee,Ang Mo Kio New Town,Aug 18 2022
189,30,Comfortable Workplace,Your dream workplace to retire to,Many army retirees seeking refuge here with salary higher than those that had contributed many years,Design amp Development Engineer,Current Employee,nan,Oct 14 2022
190,40,Good company,1Management support inhouse design 2Have chance to do hundreds millions project 3 Work life balance,1Too stable for the young people 2 Better for scholars,Principal Engineer,Former Employee,nan,Aug 7 2022
191,30,Just review,Stable and tons on experience learn,Too much on the plate,Senior Engineer,Current Employee,nan,Oct 25 2022
192,10,Dont,Stable Get to leave on time on most days,Erratic senior management Prefer to hire externally than promote internally High attrition rate No replacement,Business Development Executive,Current Employee,Singapore,Oct 6 2022
193,30,Good,Good place to work in,Can improve the salary package,Executive,Former Employee,nan,Oct 25 2022
194,50,Good compensation,Good pay and lots to learn,Too many changes to senior management,Anonymous Employee,Former Employee,nan,Aug 15 2022
195,30,Good,Nice team to work with,Long hours for my shift,IT Help Desk,Former Employee,nan,Oct 25 2022
196,10,Bad management,You get lousy pay for more work,Getting exploited working for long hours Boss complaining did not OT enough even though its after 10pm and didnt have any dinner before this 50 dollars increment per year Micromanagement at its best,Anonymous Employee,Former Employee,Singapore,Oct 3 2022
197,40,Friendly colleagues and good work environment,Friendly colleagues and good work environment,Compensation seemed to be below the market rate,Assistant Manager,Former Employee,nan,Jul 23 2022
198,30,Review for ST,Flexible working arrangements Operates like a SME,Draw lines very clearly Pretty much on your own for some divisions,Anonymous Employee,Current Employee,nan,Oct 6 2022
199,30,Good people Interesting job,Good management culture People are nice,Salary is way too low compared to other organisations,Engineer,Current Employee,Singapore,Oct 8 2022
200,40,Good company to work for,overall worklife balance is good and friendly experienced colleagues always willing to help,low salary less advancement oppurtunities,Software Engineer,Former Employee,Singapore,Jun 19 2022
201,30,Working on Data technologies in ST Engineering,01 Does not micromanaged 02 Tons of freedom flexibility 03 Very good bosses and nice colleagues,01 Noncompetitive pay package compared to the market 02 Too much manual paperwork 03 Running on a very lean team Where most are stretched to the max,Project Manager,Current Employee,nan,Apr 23 2022
202,40,Stepping Stone,Work Life Balance Job Security,Slow Pace Growth is Slow,Senior Data Analyst,Former Employee,Singapore,Jul 17 2022
203,40,Comfortable for retirement,Learning opportunities Exposure to technology Iron rice bowl,Military culture Lower remuneration Retaining top talent,Programme Manager,Current Employee,nan,Jul 17 2022
204,40,Like to pin fault,Good place for retirement Good annual bonus,Lack of guidance from team leadmanagement for younger engineers,Senior Engineer,Current Employee,Singapore,May 10 2022
205,20,Good Work Life Balance,Work life balance and Co workers are fine,Management kept on changing and result in many of them leaving and now they are employing,Sales,Former Employee,Singapore,Jun 7 2022
206,50,Politics driven,Good work life balance and caring managers,Can be slow in terms in adapting to changes,Sales,Current Employee,Singapore,Jul 6 2022
207,20,Good starting place,Pay and work life balance,Top management like to play politics,Assistant Marketing Manager,Current Employee,nan,Jun 28 2022
208,40,Working Culture,Helpful colleagues Good work life balance Sheltered carpark Cheap food Interesting projects,NAME,Infrastructure Engineer,Former Employee,Ang Mo Kio New Town,Jul 3 2022
209,20,Good for new grads,Career progression is improving Communication to staff is improving,Military like culture Too many draw lines Pay not well to senior contributing staff,Project Manager,Current Employee,Singapore,Jun 10 2022
210,30,Good company for retiring,You get to learn some new tech You get to practice,NAME,Senior Software Engineer,Current Employee,nan,Apr 7 2022
211,30,Review,Job security is quite good,Salary is below market price Benefit is minimum,Principal Data Scientist,Former Employee,Ang Mo Kio New Town,Jul 2 2022
212,10,AE,Big company lots of connection,Non technical management cannot effectively lead,Head of Engineering,Former Employee,Singapore,Aug 16 2022
213,40,Accountant,Big company easy to have quota,Salary increaae is very low,Assistant Engineer,Former Employee,Singapore,Jul 13 2022
214,30,Data Analyst,Stable less stress staff canteen,Increment less politics limited career progression,Accountant,Former Employee,nan,Jul 15 2022
215,40,Overall ok,1 Work life balance 2 Stable work,1 Slow pay increase 2 Not able to grow fast,Data Analyst,Former Employee,Singapore,Jul 6 2022
216,30,Integrity and consistency,Stable job good colleagues Cant think of anymore,Frequent OT and stress Bonus is so little,Engineer,Former Employee,nan,Jul 5 2022
217,50,Team based culture,To work with best professionals,To be available around the clock,Project Manager,Current Employee,nan,Jun 28 2022
218,20,Familyfriendly,Good work life balance in general,Salary is low compared to other engineering firm,Engineer,Current Employee,Ang Mo Kio New Town,Jun 29 2022
219,30,For info,Good worklife balance pace of work is generally not fast,Managers are not technically strong difficult to find a good mentor Mostly project management work over technical work,Software Engineer,Current Employee,nan,Jun 4 2022
220,50,a,It is a Stable company,The pay is slightly lower then outside,Engineer,Current Employee,nan,May 19 2022
221,10,Intern,a lot of overtime in st,very tiring because need to do overtime a lot,Aircraft Technician,Current Employee,Changi Village,Sep 12 2022
222,30,Great if you are a Singaporean not if you are not,good colleagues that help each other,lack of freedom salary singapore mindset,Software Engineer,Current Employee,nan,Aug 9 2022
223,20,Company,Great if you are a Singaporean not if you are not,Management will always be right and know best,Anonymous Employee,Former Employee,London England,Jul 11 2022
224,40,Review,Good place to start off your career as there are plenty of opportunities,Internal processes need to be improved,Assistant Manager,Current Employee,nan,May 9 2022
225,40,Good,Good Challenge for everyone to manage,Pay may not be good,Manager,Current Employee,nan,May 20 2022
226,40,Management,Good place to work and nice colleague,Overtime and no work life balance,Executive Assistant,Former Employee,nan,May 17 2022
227,10,Work life balance,fun and enjoyable colleague great location,poor and stressful management work life unbalance,Senior Engineer,Former Employee,nan,Aug 31 2022
228,30,Operations Leader,Work life balance and Friendly Environment,the career progression is slow,Process Engineer,Former Employee,nan,Aug 3 2022
229,50,Stagnant Position with continuously increasing workload,Good environment to work in,Too much of approval levels,Engineer,Current Employee,nan,May 15 2022
230,20,Close to non existent increment,easy going and fun environment to work Colleagues and Higherups are helpful very stable job good for mid age group Very Manual job keep doing the same thing again and again for many years,Salary increment is very slow perhaps once every 5 years Turnover rate very high due to stress level newbies get higher pay for the same scope of work maybe even lesser scope of work not recommended for working mothers or pregnant as management not understanding Favouritism plays a big role in this company If managers like you even if u dont performyou will get good grading and promotion,Senior Operation Executive,Current Employee,nan,Jan 31 2022
231,10,QA,A lot of chill time to deploy proof of concept model Managers are generally nice people Lots of learning opportunity,Overworked when they need you Double digit increment,Senior Engineer,Current Employee,nan,Jul 19 2022
232,50,Good enviroment,Good team and supportive management,Bit quality not meet the expectations,nan,Current Employee,Singapore,May 5 2022
233,40,Low pay,Good working environment stable job,can try to give more allowance,Engineer,Former Employee,Singapore,May 11 2022
234,10,Needs more action,Nothing to good to said,Under pay and lot of OT,Engineer,Former Employee,nan,Sep 5 2022
235,20,Good place as iron rice bowl,Stable job environment nice peers less politics and decent pace of work,Frequent empty talks Change takes a long time Lack management support for the development and growth of support team,Manager,Current Employee,Ang Mo Kio New Town,Jul 4 2022
236,30,Great company,Most people are here for safe haven so theyre not competitive or semiretired from previous job so good place to learn from past experiences of others or find good colleagues,Toxic individuals stay in the company as long they dont screw up enough to make an impact Pay increment every hear is 23 and takes a long time to promote even if take more responsibility so good people will jump out for opportunities,Assistant Engineer,Current Employee,Singapore,Apr 6 2022
237,50,Low wage sucky boss great colleagues,Great company with good growth opportunities,Nothing bad to talk about,SVPTechnology,Current Employee,nan,Apr 28 2022
238,30,Engineer,Stability Young people working together tend to have lesser politics,Salary Bonus less than 2 months,Business Analyst,Former Employee,nan,Jul 19 2022
239,30,Good enviroment,Opportunity to learn No others comment,Low increment Benefits can be improved on competitive among divisionsector to win for projects Politics,Engineer,Current Employee,Singapore,Jul 21 2022
240,40,The drive to improve has been lost,Good working environment stable job,can try to give more allowance,Engineer,Former Employee,Singapore,May 11 2022
241,20,Payment Center,Work life balance had a good manager for my project,Salary below market value Risk of your IT skills being out of date youll have to constantly upgrade yourself during your own free time Low manpower bad talent acquisition The company hasnt found a replacement for the manager that has left for a year now When told to management that there is a high risk of more people leaving the project Their response was weve tried our best to retain people if they leave theres nothing we can do mentality,Software Engineer,Current Employee,Singapore,Dec 14 2021
242,10,Hard work,The only pros would the it being a stable job,Poor and rigid management Low salary and increment Military culture addressing individuals by their rank Employees unwilling to accept changes especially digitalisation Management unclear of the daily operations Communication issues due to childish behaviour of management which causes hindrance in productivity Insignificant benefits compared to the current market,Management Executive,Current Employee,nan,Apr 20 2022
243,30,Great Place To Learn With Decent Pay,Be Safe always work as a team follow always the manuals,Safety is priority work with a team and dont stress let aircraft stress,Aircraft Mechanic,Current Employee,nan,Apr 24 2022
244,30,Great company,Decent Salary for good honours Not very stressful depending on which department you are in Work life balance is there All locals,Politics Everyone seems to care more about themselves than the companys success As a junior engineer they will make your life difficult just because they can,Design Engineer,Former Employee,nan,Jan 26 2022
245,50,Good Job prospect,Great company with good growth opportunities,Nothing bad to talk about,SVPTechnology,Current Employee,nan,Apr 28 2022
246,30,MNC but work culture like SME,Good work environment reasonable pay,limited career progression and pay increase,Engineer,Former Employee,Jurong West New Town,May 8 2022
247,30,nil,Deals with alot of government projects,Very top down management style Hard to get promotion Very SME culture Your immediate superior will define your jobhappiness and satisfaction One of the worst pantry ever,Assistant Principal Engineer,Current Employee,Ang Mo Kio New Town,Mar 16 2022
248,50,Stable little exposure slow career advancement,good place good work nice,No cons to list for now,Technician,Former Employee,Singapore,May 3 2022
249,30,TechOps,Stable little exposure slow pace,Slow in career advancement rigid,System Specialist,Current Employee,nan,Apr 28 2022
250,40,Not a caring company though they like to pretend to be so,Awesome benefits and pay scale with annual upskilling,Annual increment low promotion and appraisal hard to maintain,Technical Operations Engineer,Current Employee,nan,Apr 25 2022
251,20,Old school culture,Not particularly stressful but your opportunities for promotion are not there The canteen is nice the workers there are friendly Medical benefit is not bad,Pay is low below market rate They are not a caring employer They dont care about your wellbeing they just leave you be They micromanage a lot Theres a lot of hidden people who like to complain about you very toxic,Software Engineer,Former Employee,Ang Mo Kio New Town,Sep 17 2021
252,30,A good place to start,Good bosses able to learn,Remuneration below market lack of career progression,Senior Manager,Current Employee,nan,Apr 28 2022
253,50,nan,I loved how I received training there with my supervisor as a fresh graduate,I dont see any downside its a good place to work,Anonymous Employee,Former Employee,nan,Apr 4 2022
254,50,Many layers of approvals,A very stressful and fast paced environment with very strict procurement policy which hinders the operations They have a very understanding and supportive GM and colleagues,Worked at ST for almost 3 years Had to fight for every raise I got which were both late being given to me The management wants their mechanics to perform jobs without proper tooling and will not have your back if something goes wrong I speak on that from personal experience while at the company,Quality Assurance,Former Employee,Jurong West New Town,Jan 1 2022
255,30,Company with low pay,Many processes and policies Quite structured,Too many layers A lot of bureacracy,Anonymous Employee,Current Employee,nan,Apr 26 2022
256,30,St Engineering is okay for fresh grads,The company supports Learning opportunities,Salary is low and difficult to get a promotion if you are not inner circle guys of your boss,Manager,Former Employee,nan,Apr 7 2022
257,30,A lot of different job opportunities if you are actively engaged,1 hour lunch good people wide variety of food at Seletar,Toilets are filthy a lot of work,Anonymous Employee,Former Employee,nan,Apr 11 2022
258,40,Abundant opportunities poor benefits,Lots of learning opportunities and exposure,Hours can be long and hectic,Senior Vice President,Current Employee,nan,Apr 12 2022
259,30,Good for fresh graduate,Decent starting salary place with opportunities to learn,Bureaucracy is present poor scope of work allocation,Project Engineer,Current Employee,nan,Apr 11 2022
260,50,overal view,Fantastic for fresh graduate to start from somewhere if there are no working experience Good location although you might need to travel for different projects requirement Good welfare medical claim system etc,Some management try to micromanage and might give tasks out of sudden so you need to be flexible with your working arrangement Base pay and remuneration could be improved,Engineer,Current Employee,nan,Jan 30 2022
261,40,Culture,less stress and flexible environment,very traditional operation people work silos not much friendly,Account Manager,Current Employee,Singapore,Apr 20 2022
262,30,Pros and Cons,good learning ground and strong teamwork,Culture rooms of improvement,AVP HR,Former Employee,nan,Apr 27 2022
263,20,Good,Colleagues are nice and willing to teach Good place to start for Fresh Grad,Heavy Workload A lot of OT Not Enough Manpower Increment is bad,Systems Engineer,Current Employee,nan,Apr 9 2022
264,30,Review,Good colleagues are friendly helpful,Pay is under market rate,Software Developer,Current Employee,Ang Mo Kio New Town,Apr 27 2022
265,40,Currently working in Vamshi motors till today,Room for promotion Friendly colleagues Good working environment,pay below than average management not so professional,Senior Engineer,Current Employee,Singapore,Apr 18 2022
266,50,Overall good,Improve knowledge and new skills and new targets and etc,Hot weather and dirty workshop floor,Anonymous Employee,Former Employee,nan,Apr 6 2022
267,50,Nice place to work in,nice colleagues encouraging learning environment,structure keep changing and confused,Data Analyst,Current Employee,Ang Mo Kio New Town,Apr 4 2022
268,50,Slow progress,Good place to work in,Salary increment is low,Procurement Executive,Current Employee,nan,Apr 17 2022
269,30,good,Stable job and decent bonus if you are a high performer,Slow progress No proper training and no support from supporting group,Maintenance Department Manager,Current Employee,Singapore,Apr 6 2022
270,50,Review,got shuttle bus affordable canteen food,hierarchy no work from home,Assistant ManagerHR,Current Employee,Singapore,Apr 20 2022
271,20,Good but not the best,Stable with very good facilities,Toxic work environment in some departments hierarchical,Assistant Manager Projects,Former Employee,nan,Apr 21 2022
272,30,Pros and Cons,Good Medical Support Provide study chance Friendly,Hierarchical Workplace polities Less benefits Low churn rate,System Engineer,Current Employee,nan,Apr 13 2022
273,30,Toxic,Recognition of job well done by HOD,Benefits are not competitive to market,Senior Manager,Current Employee,Singapore,Apr 14 2022
274,20,Nice company,Teammates are great communication is awesome,Management is bad too entitled,Senior Engineer,Current Employee,Ang Mo Kio New Town,Apr 21 2022
275,40,Low salary,worklife balance in the company,Salary provided by the company,Anonymous Employee,Current Employee,nan,Apr 18 2022
276,30,Good place to learn,Stability medical benefits shares over time,Low salary slow career progression,Anonymous Employee,Current Employee,nan,Apr 17 2022
277,50,nice place for working,More time to learn skill,It will Good to have more benefits,ICIT Engineer,Current Employee,nan,Apr 9 2022
278,40,good,Business is stable and sustainable,Outdated technology and lack of innovation,Senior Software Engineer,Current Employee,nan,Apr 12 2022
279,40,Salary,every one fellow safety in St engineering marine,troubleshootingsafety chain for main engines,Senior Electrical Engineer,Current Employee,nan,Apr 1 2022
280,30,good training ground,enjoy working with the colleagues,salary for staff serving 15 to 20 years in the company is very much lower than market rate,Senior Manager,Former Employee,Singapore,Mar 29 2022
281,40,The unknown,great colleagues with passion work life balance stability,old school management practices and so so salary,Anonymous Employee,Current Employee,nan,Apr 2 2022
282,30,Okay,Great training and learning ground,Allocate project to Engineer that is not in their field,Systems Engineer,Current Employee,nan,Apr 7 2022
283,30,Good place,stability investments on technology available,some senior stakeholders can be a pain to work with,Anonymous Employee,Former Employee,Singapore,Mar 24 2022
284,50,Good career opportunities available,Lots of opportunities for growth,Depending on where you are,Engineer,Former Employee,nan,Apr 11 2022
285,30,Good Job stability nice colleagues,Salary is fair Career opportunities are there,Management could micro control Benefits could be better,Assistant Manager,Former Employee,Seletar,Apr 6 2022
286,50,Consider not bad,Able to work from home,Job progression opportunities is Low,Executive,Current Employee,Singapore,Apr 6 2022
287,40,Can be better,Good colleague distance travel very near my house,Occasionally will have change in organisation,Presales Consultant,Current Employee,nan,Apr 3 2022
288,30,Opportunities,Work life balance shuttle service from bus stop to HQ,Need to review the technologies used Paywise can be better,Engineer,Former Employee,nan,Mar 26 2022
289,30,good overall,Stable job with decent pay,Not much job opportunities and stagnant,Associate Engineer,Current Employee,Singapore,Apr 7 2022
290,40,Call center,good overall package and salary overall,politics and need to maintain good relationship with dept boss,Anonymous Employee,Former Employee,nan,Mar 29 2022
291,30,overall company operation,Location of office is not too far,Salary too low with no increment,Assistant Executive,Current Employee,nan,Apr 3 2022
292,40,Ok place to start work,systematic well organized inline with government policy,age of team too old to develop new concepts or catch up the times,Engineer,Current Employee,Singapore,Mar 17 2022
293,30,Average company,Forgiving time is given for you to develop decent,Sad salary increments management dominated by exmilitary leadership which causes the culture to be militarystyle,Assistant Principal Engineer,Current Employee,Singapore,Feb 22 2022
294,20,Not a bad company to work at,Recognize company name by other recruiting company,No career development for staff Some staff same post for more than 10 years,Senior Procurement Executive,Former Employee,Ang Mo Kio New Town,Mar 22 2022
295,30,Nice,Stability Practiced work life balance Bonus is decent,Older management mindset that can’t be changed overnight,Human Resources,Current Employee,Singapore,Mar 20 2022
296,40,Work,Good work place to be working,Heavy workload Too many regualtions,DesignerDeveloper,Former Employee,Singapore,Mar 24 2022
297,30,Executive,Work Life balance Wont have much of weekend work,Run like SME culture Lack of communication Slow progression and pay,Process Engineer,Current Employee,Singapore,Mar 22 2022
298,30,Not lousy salary but not good for health,ST is a very structured organization,ST need years for promotion,Executive,Current Employee,nan,Apr 4 2022
299,10,Job Mismatch,You got a higher than average salary,The office furniture is not suitable for physical and mental health Almost all senior managers take the money and do nothing and always evade responsibility to the engineer Delay pay for the year ended bonus employees always struggle to make a good lunar new year,Senior Systems Engineer,Current Employee,Taipei,Feb 25 2022
300,20,ST Engineering,Good starting Pay Decent PTO Cheap food from canteen,Poor project management Somehow expected to serve client 247 Management do not seem to care about staff moral,Software Engineer,Current Employee,Singapore,Jan 2 2022
301,10,Good corporate culture and people,Nice working place to wot at,management really cannot make it,Senior Engineer,Current Employee,Singapore,Apr 15 2022
302,40,,An established and stable company with supportive bosses good work life balance and nice coworkers,Below industry average salary package,Manager,Current Employee,nan,Feb 3 2022
303,40,work culture,learn lots of work and neverending,too much work to do,Systems Engineer,Current Employee,Singapore,Feb 23 2022
304,30,Milestone Centric Company,relax culture no one is pushing for anything,retired town for people to farm pay,Shift Lead,Current Employee,Ang Mo Kio New Town,Feb 16 2022
305,30,Good,Work load can be dependent on character type To get good grading clock milestones,Lack of focus on engineering process and quality Grading not as fair to supporting roles with lesser milestones involved,Systems Engineer,Current Employee,Singapore,Jan 5 2022
306,30,Culture,Good working environment for employees,Can pay employee salary better,Salesman,Former Employee,nan,Feb 23 2022
307,30,Normal,Relatively stable company recession proof if you are in the right business sectors such as Marine or Aerospace,Top down driven culture top mgt lack sincereity to listen to alternative opinions middle mgt staff are their major weak link as many lack sensitivity when communicating critical information which was dreadfully exposed when Covid hit in 2020,Executive,Former Employee,nan,Oct 28 2021
308,30,Stressful and low pay,Helpful colleagues and iron rice bowl,Low pay and progression for workers,Engineer,Current Employee,Singapore,Feb 19 2022
309,20,Low pay do not join,Projects keep coming Wont die,overloaded with work and can be stressful at times,Senior Engineer,Former Employee,Singapore,Feb 6 2022
310,20,Great place for experience not progression,Can learn how an organisation work,Low pay High workload Middle management does not dare to stand up for working level,Assistant Principal Engineer,Current Employee,Singapore,Jan 28 2022
311,30,Good experience bad management,ST Engineering is revamping a lot of its internal processes and departments to make it more commercialized and future ready however in doing that it has to take it new hire quickly while letting go of the old ones This has resulted in a knowledge gap as the HOTO process isnt smooth Colleague are driven in projects,Salary is low compare to market rate,Engineer,Current Employee,Singapore,Nov 15 2021
312,40,Red tape,People in my department were very helpful and friendly The supervisor supports and encourages continuous learning for all staff under his department,Management manager of department sucks Only think of his progression doesnt try to understand the people under him Bad manager Will only drop by if the people above him tekan him lol The manager feels that learning is a waste of time They really should monitor all these people handling management positions he doesnt deserve it 6 days work week only a day off,Quality Control,Former Employee,nan,Oct 4 2021
313,30,OK company,Flexibility and a certain level of autonomy in project decisions,Alot of red tape to adhere to,Anonymous Employee,Current Employee,nan,Feb 7 2022
314,30,good,Friendly colleagues Conducive environment to work,Sometimes feels a bit regimental,Manager,Current Employee,Ang Mo Kio New Town,Feb 16 2022
315,50,Suitable for Learning Not Suitable to Work LongTerm,good working area office location,environment good location at home,Sales Engineer,Current Employee,Butterworth,Feb 13 2022
316,30,Engineer,Good place to learn Friendly colleagues,Salary package lower than industry average Slow progression Too many redtapes,Engineer,Current Employee,Singapore,Jan 19 2022
317,40,Good work life balance,Stable Job Dont have to worry about economic downturn,Cannot see any career progression,Project Engineer,Current Employee,Singapore,Feb 7 2022
318,40,,Work life balance is good,Salary wise may not be as competitive as others,Assistant Principal Engineer,Current Employee,nan,Feb 2 2022
319,40,Not the best org Ive worked in,Work life balance is able to obtain,Slow progression in career advancement,Engineer,Current Employee,Singapore,Feb 10 2022
320,30,Salary,Nothing that comes to mind,No 13 month bonus Slow on increments and lagging behind market,Manager,Current Employee,Singapore,Mar 7 2022
321,30,General ok company,Good salary but rigid increment structure,Too many trust towards SAF for employment,Manager,Current Employee,nan,Mar 19 2022
322,40,Project Management,Stable job and low retrenchment,No career advancement prospect for individual,Senor Engineer,Current Employee,Singapore,Dec 7 2021
323,30,Good For Starter,Get to travel before COVID times,A lot of ridiculous timelines,Product Manager,Current Employee,nan,Mar 17 2022
324,50,Good environment,Stress and work load is managable,Benefits is same as Govt Guidelines,Planning Executive,Current Employee,nan,Dec 1 2021
325,50,Strong Teamwork,Well bonded team within the projec members,Weird visionaries of higher management,Manager,Former Employee,nan,Dec 1 2021
326,40,Old School,NAME,NAME,Principal Engineer,Current Employee,nan,Oct 28 2021
327,30,Stable,Big company with good bonuses,Old school style of management and people are sometimes not willing to adapt to new changes,Finance Executive,Former Employee,nan,Feb 26 2022
328,40,Life at ST,Stable company Diverse business model,Remuneration could be better reviewed,Manager,Former Employee,nan,Dec 7 2021
329,30,Working Environment,Work life balance good bosses,low pay and benefits might not be recognized by bosses,Engineer,Former Employee,Ang Mo Kio New Town,Mar 3 2022
330,30,Great place to obtain sold technical experience,Friendly and helpful colleagues,Some higher management will try to snatch your workload and complain that you are not doing your job,Anonymous Employee,Former Employee,nan,Jan 10 2022
331,40,Working,Unique products and technologies provider earns mega projects,Por Management planning no clear mission project management process can be improved,Electrical Engineer,Former Employee,Riyadh,Dec 10 2021
332,30,ST REVIEW,interesting job scopes able to move around across the department to develop knowledge and skills,sometimes there are long working hours to endure,Engineer,Current Employee,Singapore,Jan 11 2022
333,40,Management Heavy too many levels,more benefits would be good,none to be describe honestly,Engineer,Current Employee,Jurong West New Town,Jan 29 2022
334,30,Big ship,Good work life balance friendly and approachable colleagues,Too many reporting levels and management top heavy,Assistant Principal Engineer,Former Employee,Singapore,Jan 7 2022
335,40,Good company,A relatively big company with gov backing,Too many systems and red tapes,Manager,Current Employee,nan,Jan 23 2022
336,40,Demanding working culture,Friendly coworkers learning opportunity good management,Benefits not up to industrial standards,Anonymous Employee,Former Employee,Singapore,Jan 24 2022
337,20,Stable Income Job security,Colleagues are friendly to work with,Hiring process is too lenient ST has a tendency to keep bad employees Salary is below market rate Working overtime is the norm Workload is extremely demanding,Software Engineer,Former Employee,Singapore,Dec 16 2021
338,30,A good company,It provides a stable income and job security and good bosses and mentors,Recently it has gone through a reorganisation And we have been navigating through uncertainty There is not much room for growth for Marketing in the Line of Business I am in because there is no platforms we own and manage they are all done at the ST Engineering Group level Management across various businesses need to be aligned before pushing out plans for events As much as this needs time this should be first established before the reorganisation happened,Marketing Executive,Current Employee,nan,Sep 2 2021
339,50,Stable but alot of red tape,Great working environment Healthy worklife balance,There are no cons in this company,Manager,Current Employee,Changi Village,Jan 18 2022
340,40,Superior training ground for Graduates,Projects that come through have a lot of variety Mostly monotonous work but the team is rather effecient Very stable job everyones been here 510 years but not much advancement opportunities,Everything you do has a lot of red tape Alot of managers making contrasting decisions which can get confusing sometimes,Anonymous Employee,Former Employee,nan,Aug 24 2021
341,20,Overall,On job training Aerospace division Some nice farmers colleagues Good place for good talkers Good place for passive income know some colleagues earn way more in investing and here to pass time,Scholar gets to rotate easily Especially when project about to lose control Havent really seen a nonscholar move up the ladder Seen many hardworking smart colleagues leave for better place Bad Salary package no transparency in Salary Not a good place for innovation,Analyst,Former Employee,nan,Oct 13 2021
342,50,Company culture,Overall its good good team good management,So far so good there nothing to be complain,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,Nov 11 2021
343,40,Excellent,Generally collaborative and at times of crisis teamwork are evident,Huge company a lot of policies in place at times create red tapes to move forward with process changes,Senior Production Engineer,Current Employee,Singapore,Oct 18 2021
344,50,Not well organized for IT,Good to communicate here and well and organise,I dont feel that I need to put anything like that,Design Engineer,Current Employee,Indore,Nov 5 2021
345,30,Worst company ever,Work life balance academic culture,Not good for IT professionals not much to learn not latest technologies and no IT leaders,Principal Software Engineer,Former Employee,Singapore,Feb 9 2022
