Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
nan,4,Software Engineering Returnship,Returnship program is designed for women with career break Good way to kick start your career after break Good onboarding guide and scoped milestones setting up for success,Very vulnerable to macro economic conditions,Software Engineer,Current Employee,nan,Jan 13 2023
nan,5,Great company to work from and learn,good learning opportunities great growth and mentorship if you have a good manager and mentor,work life balance is better in other companiesnot too bad in my team though very team specific,Software Development Engineer SDE,Current Employee,nan,Jan 8 2023
nan,4,Good job if you don’t mind working,High paced and energetic environments,You will work with some wired individuals,Water Spider General Labor,Former Employee,Sewickley PA,Jan 25 2023
nan,5,Software Development Engineer SDE,benefits pay work life balance,wlb is dependent on what team you are on,Software Development Engineer SDE,Current Employee,nan,Jan 25 2023
nan,4,Area manager at Amazon,Great on resume Great people,Long hours Lots of over time Time off is annoying,Area Manager II,Current Employee,Boise ID,Jan 25 2023
nan,4,Brand value,Decent Salary exposure experience and knowledge,Work life balance minium salary bracket medical 401k benefits and perks,QAE,Current Employee,Seattle WA,Jan 25 2023
nan,1,Run away,Food trucks are bomb though,Management is Terrible for real,FC Associate I,Current Employee,nan,Mar 14 2023
nan,1,nan,absolutely dont like it here,work life balance is completely screwed,SDE 1,Current Employee,Houston TX,Mar 14 2023
nan,1,Don’t,The pay is not bad,No sitting short breaks bad management,Material Handler,Former Employee,Plainfield IN,Mar 15 2023
nan,2,Not for the faint of heart,Health Benefits Bonus Salary Decent Cafeteria,Long hours backstabbing among managers,Area Manager,Former Employee,New Castle DE,Feb 21 2023
nan,3,FC Support Role,Work schedule is really flexible,Heavy workload Hectic environment Limited Growth unless you move roles,GM Administrative Assistant,Current Employee,Raleigh NC,Feb 21 2023
nan,5,Great Job,You Have the ability move around,Training can sometimes be difficult but if you work hard you can persevere,Case Manager,Former Employee,nan,Jan 23 2023
nan,4,Great Company,Benefits stock employee engagements Leadership,MyHR was the worst they never have the answer,Human Resources Business Partner HRBP,Former Employee,San Diego CA,Jan 23 2023
nan,4,Get ready to work hard,Options for advancement if interested,An inordinate amount of politics,Area Manager II,Current Employee,Oklahoma City OK,Jan 23 2023
nan,2,Terrible WLB Good growth,Growth High Standards Pushing limits Good documentations Latest Technologiestools,Worklife balance No Job Security too many expectations Hard deadlines Too competitive teammates,Software Engineer,Current Employee,Bellevue WA,Feb 20 2023
nan,2,Not very honest with their workers,Good hours and overtime available excellent benefits,Very dishonest and misleading with their employees about advancement Very easy to get written up and they dont explain why or how you made mistakes Most of the mistakes may not have been your fault Also you may not even know you were written up because the manager did not want to tell you I had 3 write ups in one month and was told if I had one more I would be let go and that I was one item away from being written up that week I quit on the spot I asked what my mistakes were and he wouldnt show me The trend is that you usually are forced out within 8 months of employment at Amazon It is a well known trend and you just think it wont be you then it is,Warehouse Worker,Former Employee,Byhalia MS,Nov 28 2022
nan,3,Good entry into HR,Team members were wonderful to work with Always willing to help you with questions If there was a certain task that you were unsure of you were able to request a training refresher,While it’s understandable that companies realign or restructure I went through 5 managers in 2 years So just when you got used to how one manager operated don’t get too comfortable because it will change again The schedule isn’t all that great either as its a 24 hour business and you will always work one weekend day I ended up with overnight night which made it hard as a single mom to spend time with them as I was too tired and needed sleep,Human Resource Coordinator,Current Employee,Tempe AZ,Nov 20 2022
nan,5,Good team and positive working experience,Very talented team members make things much easier,Micro management happens al lot but depends on your manager,Material Program Manager,Current Employee,Seattle WA,Jan 21 2023
nan,5,very good,benefits and good pay works around my time,Late hours and missing time with others,Packager,Current Employee,Los Angeles CA,Jan 19 2023
nan,5,Great job,Benefits Co workers Raises A lot of opportunities,Workload can be a lot for anyone especially with high demands,Associate,Current Employee,Romulus MI,Jan 19 2023
nan,4,Amazon reveiw,Good pay and work from home options ability to work on building aws services,Work life balance is unequal sometimes hectic work environment and constant workload,Software Development Engineer SDE,Former Employee,Dallas TX,Jan 19 2023
nan,5,Amazon,Easy you learn a lot and they have very clear work standards I can pick up overtime virtually whenever I want I love it way more than my old jobs which involves mostly customer service,Long hours kinda suck but theyre definitely not slave drivers like people say,Warehouse Associate,Current Employee,nan,Dec 30 2022
nan,2,Not good,Flexibility and good work environment,Work overload burnout and no worklife balance You will feel like a robot,Shift Lead,Former Employee,Hamburg PA,Feb 27 2023
nan,5,Peculiar but great place to work,Leadership Principles drive everything and they match my personal drivers for success The people are all fantastic and always willing to help I work remotely but still feel connected to and have fun with my team There are endless opportunities to grow your career in whatever area or direction you want to try and competition for the sake of getting ahead seems nonexistent You truly feel that in a huge company YOU can make a difference because its true Huge focus on diversity and in general just valuing people for who they are,Because its such a large company and is everchanging you may feel overwhelmed or that you dont know what youre doing though everyone is in the same boat,Legal Risk Manager,Current Employee,nan,Oct 19 2022
nan,4,Flex PT Associate,Super flexible schedule as a Flex associate pick shifts to show up to work You are able to work between 452 hours per week If you dont work you get a point and you get 8 points total which expire every 60 days,The job is absolutely dreadful Packing boxes can be okay for the first few times but after a month or two it certainly starts to wear you down Also if you are a full time associate expect to work a mandatory extra shift 13 weeks out of the year,Amazon Warehouse Associate,Current Employee,Nampa ID,Oct 27 2022
nan,4,Working at Amazon,Excellent place to work and learn in a fast paced environment Colleagues are top notch and leaders are driven Process driven company that enables structure and discipline in every aspect of work like project execution meetings etc A well envisioned and stable product roadmap,Hardware is typically hectic from worklife perspective and that is no different at amazon,Principal Engineer,Current Employee,Sunnyvale CA,Dec 19 2022
nan,4,Amazon worker,Sick leave good vacation tome,Short breaks early hours and constant standing,InspectorPacker,Former Employee,Kansas City KS,Jan 28 2023
nan,5,Great,great conditions for a part time employee,They require long hours unfortunately,Cashier,Former Employee,nan,Jan 28 2023
nan,1,Overworked and underpaid,You get benefits and you have a job,The harder you work the more youre expected to work for everyone else,Process Guide,Former Employee,Chester VA,Mar 8 2023
nan,3,Good place to work if you work,Good environment to work in The people in this site are firm but fair Very safety driven,Hard to move up internally Hires managers from the outside and wonders why their performance is low,Tier III Amazon Process Assistant,Current Employee,Crest Hill IL,Feb 6 2023
nan,4,Superb in Majority of Areas Few to Be Aware Of,This is for several West Phoenix IXD 23 Softline 3 and Merch Only Ability to move as high as you want career wise Many excellent management teams Excellent education opportunities Superb benefits and discounts for everything auto phone clothing vacations et cetera Peak Prime Birthdays Anniversaries are funcompetitions challenges et cetera with many awesome prizes Managers work along side of employees and assist when needed Excellent education programs Nice lunchrooms Opportunity to travel to other facilities and states to launch new facilities Many opportunities to retrain in different positions You can choose your schedule and have a variety of choices Opportunities to switch shifts Overtime TimeOff opportunities throughout the year There are many good things regarding working with Amazon,A huge majority of corporate case management teams has no idea what everyone else is doing in facilities Corporate case management teams doesnt communicate with Human Resources at all Lack of communication between case management and clients Long hours of standing on warehouse floors mats are too thin Bad on legs Due to shortages of employeesOver working employees,Teacher´s Assistant,Former Employee,nan,Sep 2 2022
nan,4,Work is work,Flexible hours Caring staff Decent pay for basic job,Every job has lazy coworkers,Scanner,Former Employee,Vacaville CA,Jan 26 2023
nan,4,good,the pros are the freedom and paid leave,cons are the long hours and little pto,Package Handler,Former Employee,Staten Island NY,Jan 26 2023
nan,4,Hard work with great benefits,Good pay and stock options,LONG hours and stress during every shift,Operations Manager,Current Employee,Tampa FL,Jan 26 2023
nan,5,Working in TA at Amazon,Fast paced environment always innovating and trying new processes to improve recruiting performance and efficiencies great peers great place to recruit for theres so much emerging and creative work for employees,At times the workload balance was heavy and not realistic to handle,Principal Recruiter,Former Employee,nan,Jan 4 2023
nan,4,Locations vary,Pay is by tenure and schedule is up to you,Coworkers looking to get paid and not work,Warehouse Associate,Current Employee,Wilmer TX,Jan 24 2023
nan,5,Good benefits day 1,Physical work Good exercise,Slow months no overtime available,Stower,Current Employee,nan,Jan 24 2023
nan,3,Good Experience,good and you learn a lot,yes a lot of pressure,Customer Service Representative,Former Employee,nan,Feb 11 2023
nan,3,Looking for growth,Amazon has a flexible schedule,Your role changes every day,Custodial Engineer,Current Employee,nan,Feb 11 2023
nan,4,Fast paced,got to learn a lot,compensation low compared to competion,Product Manager,Former Employee,nan,Feb 11 2023
nan,4,Good for some,I loved the pto and vacation time Great health insurance,I walking to and from break takes away from your time because of how large the building is,Order Picker,Former Employee,nan,Jan 31 2023
nan,4,Good benefits,I used to work full time 40 hours a week Benefits are excellent people are good and friendly,Had to stand or walk for 10 hours,Safety,Former Employee,Seattle WA,Jan 31 2023
nan,2,Highly Political,Good flexibility to work remotely,High turnover rate low morale lack of transparency poor communication successes and contributions go unnoticed Highly political environment with promotions and advancement dependent on who management likes as opposed to the quality of work,Legal Assistant,Current Employee,nan,Jan 26 2023
nan,5,Great place to work,This is a company where you can and have to learn a lot from the day 1 and never stop learning which allows you to have great career growth opportunities Your are surrounded of very smart and talented people which makes it a great space for build and innovate a lot It has a very well defined culture where customer obsession is the main principle and allows the teams to have well defined priorities Very competitive compensation,You are by your own thought you are in a team and they can support you sometimes usually individuals are owners of all the aspects of the work they are doing which can make you feel overwhelmed sometimes,Software Development Engineer SDE II,Current Employee,nan,Nov 25 2022
nan,4,Reasons…,Very little barriers for entry,Not Enough barriers for entry,Associate,Current Employee,nan,Feb 7 2023
nan,3,Amazon,A pro to working for Amazon is the benefits,A con is the long hours that are sometimes necessary,Anonymous Employee,Former Employee,nan,Feb 7 2023
nan,5,Great tech place,Moves fast learn a lot great technology for an engineer,Lots of emphasis on LP,Software Development Engineer SDE1,Former Employee,Austin TX,Feb 7 2023
nan,1,,Limitless opportunities for tier ones all the way uo to upper management,Organizational Leadership lacks in lots of aspects,Operations Manager,Current Employee,Orlando FL,Mar 11 2023
nan,4,amazon warehouse,decent place to get your foot in the real world,long hours standing and very repetitive,Warehouse Associate,Current Employee,Salt Lake City UT,Jan 25 2023
nan,3,Fast Paced Competitive Environment,Great place to become an expert in metrics tracking and overall business acumen,A lot of the job will depend on your manager With a good manager you’ll have less oversight and more time to focus on things you enjoy With a poor manager you will constantly be under the microscope expected to get things done in record time Amazon also will layoff anyone who underperforms or if your business unit doesn’t hit their targets,Senior Product Manager Technical,Current Employee,Seattle WA,Jan 25 2023
nan,4,Pretty good so far,Work 3040 hours per week not too stressful,Layoffs cause uncertainty about job security,Software Engineer,Current Employee,Seattle WA,Jan 25 2023
nan,1,horrible,they pay better then other employeers,horrible environment and treats workers like bots,Layway Associate,Current Employee,nan,Mar 13 2023
nan,5,Greate company to learn and grow,1 Leader in cloud computing area so lots of good learning for new joiner 2 Very well documented training schedule for new employees 3 Very good in terms of compensation and benefits 4 Opportunity to work in various technology and projects 5 Company is driven through solid amazon principals 6 Very good immigration team and support,1 First 23 months you feel like overflow of information you need to grasp 2 Required extra working hours to catchup new stuffs,System Development Engineer,Current Employee,Edison NJ,Dec 5 2022
nan,4,Great,Good company well paid for low maintenance job,A lot of responsibility and road hazards,Delivery Driver,Former Employee,New York NY,Jan 23 2023
nan,4,Plenty of Opportunity,Flexibility pay benefits opportunity and job growth,Role specific can have varying time commitment,Sr Program Manager,Current Employee,Nashville TN,Jan 23 2023
nan,4,Amazoncom,Good Pay friendly coworkers and management,Overload of boxes to work with,Data Entry,Former Employee,nan,Jan 23 2023
nan,2,It’s a job,A lot of downtime depending on where you work,A lot of unnecessary projects that don’t benefit the company Stay away from workforce staffing if you care about your career in Amazon It’s career suicide,Staffing Coordinator,Former Employee,Philadelphia PA,Feb 18 2023
nan,5,Area Manager at Amazon,great pay and benefit s,wake shift many hours expected,Area Manager,Former Employee,Springdale OH,Feb 5 2023
nan,4,Decent job,Reliable and consistent work that isn’t too difficult,The pay could be better especially after working for nearly two years,Warehouse Associate,Former Employee,Newark CA,Feb 5 2023
nan,5,Its alright,Pay Benefits Good foot in the door Eye opener post college,Long hours Assoicates are not always the nicest,L4 Area Manager,Current Employee,Charlotte NC,Feb 6 2023
nan,1,Not for me,Decent experience in supply chain and warehouse operations,Poor culture high school mentality,Associate,Former Employee,Kenosha WI,Feb 22 2023
nan,5,Hire and Develop the Best,Amazon provides its employees with the resources and support they need to succeed There is a strong emphasis on career growth and development I feel confident that the skills and knowledge I have gained here will benefit me in my future endeavors,Amazon is known for its fastpaced work culture It can be stressful at times and may not be suitable for everyone,Cloud Infrastructure Architect,Current Employee,nan,Jan 5 2023
nan,3,Not a bad job,Make your own schedule competitive wages pretty straightforward and independent job,hard to get in touch with management sometimes when it comes to references bc management can change often at times unsafe because there was a high demand and so many people in a confined space,Personal Shopper,Former Employee,Providence RI,Jan 17 2023
nan,5,Great job,Time off and great benefits,Management isnt the best around,FC Associate I,Current Employee,nan,Feb 10 2023
nan,3,Not great not terrible,It certainly varies across the organization but overall people who works in Amazon do tend to be goaloriented and innovative usually there are plenty of interesting tasks to work on although the priorities arent always clearly defined Benefits are decent and start from the very beginning,Although it depends on the team one in the worklife balance or how they called it here worklife harmony usually not that great Be prepared for the steepest possible learning curve in the very beginning and long hours of work Salarywise its okay and pretty standard across the board Pay rise claimed to be dependent on ones performance only but its pretty rare thing to get a decent rise after a yearly review Other preposterous thing is that its easier to quit and apply to some position in Amazon than got promoted from the within both regarding the salary and level,Business Analyst,Current Employee,Seattle WA,Oct 27 2022
nan,3,Amazon,Good environment nice ppl good management great training I honestly loved everything about this job,Shift schedules didn’t work out,All,Former Employee,nan,Feb 6 2023
nan,5,Great Company,Great company Clear steps for upward mobility,Long hours need to be very disciplined for this role,Digital Marketing Lead,Current Employee,South Seattle WA,Feb 6 2023
nan,5,Amazon,They pay good for what is being done ✅,Long hours on the floor,Fulfillment Associate,Current Employee,nan,Jan 26 2023
nan,5,Risk Analysis,Just awesome work environment here,No Work life balance here at my role,Risk Analyst,Former Employee,nan,Jan 26 2023
nan,4,Not a Bad labor job,Similar to any other labor job,The job is pretty boring,Associate,Former Employee,Tracy CA,Jan 26 2023
nan,5,Amazon,Best job ever super easy,If you don’t look at time hours fly by,Sorter,Former Employee,Chicago IL,Jan 26 2023
nan,5,Great place to work and learn,Lots of resource to learn and grow,need to be a selfstarter,Anonymous Employee,Current Employee,nan,Jan 24 2023
nan,3,Cut throat competition,Very good pay and benefits,Very harsh environment to work,Software Development Engineer SDE,Current Employee,Boston MA,Mar 1 2023
nan,5,Job at Amazon,Good place to grow learn,Not very “warm” it’s a large company People are expendable,Recruiter,Current Employee,nan,Jan 22 2023
nan,5,Friendly and professional working environment,1 beautiful office 2 wfh 3 Good teamates 4professional development tech,not yet found any cons,Software Development Engineer SDE,Current Employee,nan,Jan 22 2023
nan,4,Nice,It comes with great benefits,Hard labor and environmental safety,Associate,Current Employee,Springfield VA,Jan 29 2023
nan,4,Good,Good overall Learned a lot,PIP PIP PIP PIP PIP,Software Development Engineer SDE,Former Employee,nan,Jan 30 2023
nan,4,Hard work,Can be fun and able to do new things,May burn out many do,Sr Account Manager,Current Employee,Seattle WA,Feb 8 2023
nan,4,Amazon review,High pay Huge organization A lot of learning opportunities,They have bad worklife balance,Software Development Engineer,Former Employee,Seattle WA,Feb 8 2023
nan,2,bad culture,pay is good tech is okay,culture is bad benefit is worst I have ever known,Applied Scientist,Current Employee,Seattle WA,Feb 8 2023
nan,3,It’s ok,Lots of opportunity to grow,It’s a lot sometimes lots of work and seems crazy,Area Manager,Current Employee,Fresno CA,Feb 8 2023
nan,3,Its the best Company,Flexible and coworkers are very supportive,Bad work culture and lot of pressure,Program Manager,Current Employee,nan,Feb 8 2023
nan,4,nan,Every day learning opportunity and global exposure,Low pay and working outside of working hours,Cloud Support Engineer,Current Employee,Dallas TX,Feb 8 2023
nan,5,The most upfront info from a company ever,NAME,NAME,Sr Engagement Manager,Current Employee,nan,Dec 28 2022
nan,4,Smart people merit based questionable practiced,smart people Get a chance to do great work meritbased,Overly structured growing more bureaucratic over time,Executive Assistant,Current Employee,Washington DC,Jan 27 2023
nan,4,Good but hard to stay in time,Decent pay and benefits Accommodating staff,They time you how fast you sort boxes and you have to hit a minimum,Sortation Associate,Former Employee,Las Vegas NV,Jan 27 2023
nan,4,Down to earth culture and great place for career development,The hands on data driven culture without much fluffy presentation that requires hours of work and down to earth vibe can well equip staff at any level Internally its very easy to shift to new departments which gives employees many flexibility and opportunities for career shift Lastly the work life balance at least for Product managers at Retail is really not as bad as external rumors said I can have a well rounded personal life,The compensation structure is not as incentivized as its peer companies less cash bonus and more tied to stock and the base salary is not as competitive,Sr Product Manager,Current Employee,nan,Nov 30 2022
nan,1,Worst company Ive ever worked for,Benefits are okay Its a job,Pay is not proportional to quality of work expected Management is severely lacking in common sense Draconian rules for warehouse employees Was falsely advertised a remote position and stuck in the warehouse Working conditions are absolutely filthy mask policy is a joke,Inbound Stower,Former Employee,Staten Island NY,Jul 26 2022
nan,3,Pay,Great benefits Great pay Room for growth Good leadership,Poor work life balance Favoritism,Manager,Current Employee,North Haven CT,Feb 9 2023
nan,5,Cool,Hours for rt and pay dif,Holiday and no where to sit,Amazon Associate Tier I,Current Employee,nan,Feb 9 2023
nan,4,Good place to work but benefits and WLB suck,Lots of learning Smart coworkers,Crappy Benefits Stock not doing well lately,Sr Product Manager Tech,Current Employee,Seattle WA,Feb 5 2023
nan,5,WorkLife Balance and value,I feel valued compared to previous 3PL positions I held that felt like there was no room for growth and I am encouraged to seek out opportunities to grow further within the company The work schedule flexibility has been fantastic for me and my family to ensure proper work life balance and ability to care for my loved ones if something arises,Stressful trail by fire initial hire that I feel helped me long run,Market Manager,Current Employee,nan,Dec 27 2022
nan,2,HR is a nightmare,Certain managers are really helpful to the best of their abilities The break room has a wide selection of items to purchase for snacking pick me up You are provided gloves blades and vests at no cost to you,There are some interesting folks there… but mostly my cons would be with HR Especially when there was a huge COVID outbreak in the beginning of 2022 HR gave the run around with how to handle leave and apparently if you had COVID and then A few weeks later your child had COVID and you needed leave to attend to them they only granted ONE COVID leave even after approving it And there’s no way to physically speak to someone in an HR office as they will only direct you to the HR hotline because they “don’t handle COVID leaves” but that only gets you so far because the hotline constantly hangs up on you or the email threads don’t put you with a live specialist just copy paste prompts irrelevant to your unique situations All in all the attitude from HR in my experience was subpar and even after actively seeking help multiple times and not getting the basic information needed I quit Ironically when I quit a few weeks later someone reached out to me regarding my leave and I then explained the situation and never heard from them again,Fulfillment Associate,Former Employee,Sacramento CA,May 17 2022
nan,3,Just a staffing agency in house,Lots of resources great people to work with pay is good,The recruiting process takes forever to get through Hiring Managers and interviewers are slow to get interviews scheduled The quality of candidates is poor based on the process that is set up,Technical Recruiter,Former Employee,nan,Jan 19 2023
nan,4,Overall not bad just really bureaucratic,Not a bad company at all overall Id say your average large company some great folks great mission and a company thats truly customer obsessed,Some folks who try and take credit for projects theyre tangentially related to at best,Sr Program Manager,Former Employee,Nashville TN,Jan 10 2023
nan,3,Not bad,pays well decent benefits smart people,bad benefits wlb difficulty promo,Engineer,Current Employee,nan,Feb 10 2023
nan,4,Good,I Enjoy working in the team,cannot think of any cons,Applied Scientist II,Current Employee,New York NY,Feb 10 2023
nan,2,Culture Issues,I had some pretty incredible experiences in the role I was in took on so many new challenges and really enjoyed working with a majority of the people there,I had the absolute worst manager and Im shocked to hear theyre still working there They created a culture of fear on our team were a huge bully in over their head and completely unprofessional In a team meeting they asked everyone to share a trauma that shaped them Not appropriate for work They came to work consistently intoxicated for a period and were forced to go home by the team because they were falling asleep and slurring their words in a meeting with leadership They constantly lied and tried to pit people on the team against each other They shared confidential personal information as gossip They frequently joked about how they had no idea what they were supposed to do as a manager Yikes,Marketing,Former Employee,Culver City CA,Sep 29 2022
nan,5,Benefit,Company with great benefits simple schedule,Not easy environment heavy work load work under pressure,Tier III Process Assistant,Current Employee,nan,Feb 6 2023
nan,5,Great place to work,Worked with inspirational leaders the compensation,Long hours Need to work most federal holidays,Area Manager II,Former Employee,Boise ID,Feb 6 2023
nan,3,Be Prepared to Work,Fast Paced Good Benefits Time off structure is ok,Lots of hand holder by upper management,Tier III Process Assistant,Former Employee,Coppell TX,Feb 6 2023
nan,5,salary,down salary a lot of work,manager of better quality and knowlegde,Assistant Construction Project Manager,Former Employee,nan,Feb 6 2023
nan,5,Great place to work for,The people are great opportunity for growth,It could be stressful at times,Area Maintenance Manager,Current Employee,Sioux Falls SD,Feb 6 2023
nan,3,Growth but Challenging Environment,NAME,Favoritism is clear If you’re not a manager favorite you won’t get opportunities to grow or included in stakeholder meetings Mistakes are viciously tracked through various auditing systems for everyone to see New People are hired at the same job position yet at a higher level rather than management promoting tenured individuals Seems to be a “one size fits all” training process and if you learn differently you’re seen branded as incompetent,Contract Specialist,Current Employee,Seattle WA,Nov 15 2022
nan,4,Challenging and great place to work,Amazon does things in a super logical data driven way While the problems we may be trying to solve are unique having no precedent to start from the processes by which we attempt to resolve those problems is standardized,It is very fast moving and key decisions may change frequently and rapidly Need to stay well connected to make sure you have the latest and greatest info Very fluid working environment,Senior Program Manager,Current Employee,Philadelphia PA,Dec 29 2022
nan,3,Stow is good money but the work bummy,Training lasts 2 workdays love the independence and pay,there are a lot of rules to learn that I feel are easily forgotten Youre supposed to know a nutload of information in such a short time Had multiple occasions where I would get sent to a station that was either unavailable or taken by other employees which would be good exercise but Just annoying when it happens 3x in one shift The management is there to do what they need to,Stower,Former Employee,Amazon MT,Dec 18 2022
nan,5,Good companyhard work👍,It is very accommodating pay is not bad,You will Work very hard,Associate,Former Employee,nan,Feb 7 2023
nan,4,Great,worked in fulfillment warehouse center as picker good working environment great managers,less break time is determine by work area assigned when walking to work area destination,Assistant Manager,Former Employee,nan,Jan 24 2023
nan,4,Warehouse,flexible schedule and health benefits,management teams lack effective communication,Fullfillment Associate,Current Employee,nan,Jan 29 2023
nan,3,Easy work,I enjoy the ease of work Its not difficult I like the chutes the best,I dont like being in manual and I dont care for the bright lights and staying longer than needbe send me home give me VTO,Warehouse Associate,Current Employee,Plymouth MI,Jan 18 2023
nan,5,Amazing Place To Work,Bestinclass training strong and positive culture training is designed to ensure new hires are well supported throughout onboarding an environment of highly talented individuals who motivate those around them to do their best work,None that I see as critical or blockers to success,Business Development Executive,Current Employee,nan,Jan 18 2023
nan,4,Being an Amazonian,Training and onboarding remote working environment collaborative team amazing culture leadership principles,major time management skills needed end of yearbeginning of year performance evaluations are all consuming,Enterprise Support Manager,Current Employee,nan,Jan 20 2023
nan,5,Great place,I love Amazon for there pay and benefits,Don’t have any bad comments,Learning Trainer,Current Employee,nan,Feb 4 2023
nan,3,nan,So much growth potential you own your career,It can be very political and leaders have no communication skills,Recruiter,Current Employee,nan,Feb 1 2023
nan,3,Amazon Warhouse Packer,Good pay Paid weekly Safety conscious,10 hour shifts walking or standing Poor management Constantly pushing you to work faster,Warehouse Worker,Current Employee,New Castle DE,Feb 1 2023
nan,5,If youre hard working this is the right place,You can grow a lot here,I dont have any specifics to add here no major cons,Senior Software Engineer,Current Employee,nan,Feb 1 2023
nan,5,great company,Training and management Great system,sometimes the work can be very demanding,Human Resources,Current Employee,Irvine CA,Feb 8 2023
nan,5,Great Company,Lot of opportunities to grow internally,Lot of competition within the company,Data Analyst,Former Employee,nan,Feb 8 2023
nan,3,Dental Assistant,Good Salary very accessible with the schedule,A lot pressure both physical and metal they must train for real and sanitary situations within the day and provide more help tools n the delivery day,Dental Assistant,Current Employee,nan,Jan 27 2023
nan,3,mostly business related,With a good manager at Amazon depending on your org you can strike a good worklife balance comp is great for newhires Amazons internal tools are extremely impressive and cool to work AWS tools are super streamlined and bootstrapped for you Amazons number one focus is the customer and business which is a cool value to learn about and makes these projects interesting from a business perspective,Tech debt is a pretty big problem on a lot of teams and these projects are often not super interesting The business projects can be really interesting if you fall in line with Amazons focus on the customer however from a technical perspective projects arent always the most technically interesting A lot of this is orgdependent though the biggest con across all teams as an entrylevel employee is your closeness to leadership and experienced engineers The most experienced engineer you might have consistent access to on most teams might have only a 6 year tenure which limits opportunities for tech mentorship,Software Engineer,Current Employee,Washington DC,Sep 15 2022
nan,5,Great workout without going to the gym,High energy environment Daily perks for employees food apparel gifts Many job opportunities within the company once hired they will train you for free on any position you want to do Lots of opportunities to work extra hours if you want,Flex up making you stay and work an hour after your shift has ended I think you should have a choice or at the time of hire have the flexibility to opt out of this ruling,Sorter,Former Employee,Stoughton MA,Dec 20 2022
nan,3,Good Team,Amazon is a large group of startups and you can find your niche in a short span of time,There is a lot of bureaucracy in the company They work on problems even if its not required,Software Development Engineer SDE,Former Employee,nan,Jan 25 2023
nan,5,Very good,I really enjoyed working there but at times it was super slow and all they had is doing was sitting down,Have a better fast pasted at doing orders,Warehouse Associate,Former Employee,nan,Jan 25 2023
nan,5,extrordinary company,great employees and hr team,better breakromms and food selection,Associate,Current Employee,nan,Feb 9 2023
nan,5,Na,great people to connect with,fastpaced work environment for new grad,Software Development Engineer SDE,Former Employee,Bellevue WA,Feb 9 2023
nan,5,Hires and develops the best,There are plenty of intelligent and driven coworkers so you learn a lot from being there Worklife balance will highly depend on where you work customer needs and your supervisor,Depending on your life stage eg single married kids hours can feel demanding so ask about it during your interview Folks focus on building great products but fail to document and think about ongoing sustainment Given the high turnover people move on to work on other great products the lack of documentation makes it challenging for the successor,Hardware Engineer,Current Employee,Seattle WA,Dec 11 2022
nan,5,good place to work,Varies from team to team but I loved my manager and team,Such a large organization that its hard to know what is going on,Recruiter I,Former Employee,New York NY,Jan 30 2023
nan,2,Good Pay Culture not for everyone,Starting pay and benefits are competitive SemiOK working environment,No worklife balance rigorous work culture that is very hard to adjust to,Project Manager,Current Employee,nan,Jan 30 2023
nan,3,Not bad for a temporary job,My favorite thing was the flexible schedule So many people complain about Amazon but the location that I worked at wasnt horrible The job wasnt really hard With 4 hour shifts by the time you were sick of being at work it was time to go home,The training is crap They dont make sure that you know how to troubleshoot anything The management changes every few months so by the time you get to know your leads or supervisor they change schedules or locations There was not real supervision at my location and people would leave their post to go sit in the bathroom for hours and nothing was ever done about it There was normally a line outside the bathroom for those that actually needed to go because of people just hanging out They never made sure that employees were actually doing the job correctly as long as we were hitting our numbers,Warehouse Worker,Former Employee,nan,Sep 7 2022
nan,4,Good challenges good pay,NAME,NAME,Software Development Engineer,Current Employee,nan,Feb 2 2023
nan,2,Beware,Fast pace pay is good easy to adapt,Very fiscal my feet hurt everyday will need accomodations if you carry a walking cane Or other handicap items Not always possible The Amcare people can be an issue I dont think they should try to diagnose your pain And should refer you to the onsite clinic It is frustrating Its best to go to a real doctor who does not judge,PickerPacker,Current Employee,nan,Dec 27 2022
nan,3,Good to start not long term,You will learn very quickly and be put in critical situations by yourself,Operations team is awful and disrespectful you have to be their babysitter Too much pressure and work for the job,Senior Human Resources Generalist,Former Employee,nan,Jan 23 2023
nan,1,Terrible Experience,Can work at any time of day,Monotonous work No human to human interaction Managed by a device have to meet strict quotas,Seasonal Warehouse Associate,Former Employee,Langhorne PA,Feb 20 2023
